"","DOY","Tmax","Tmin","RHmax","RHmin","uz","LE","P"
"1",2001-05-10,28,16,86,49,8.61118,NA,0
"2",2001-05-11,23,10,96,39,4.44448,NA,0
"3",2001-05-12,24,7,93,43,3.05558,NA,0.25
"4",2001-05-13,33,15,78,34,6.66672,NA,0
"5",2001-05-14,33,19,73,30,7.50006,NA,0
"6",2001-05-15,34,22,79,37,7.22228,NA,0
"7",2001-05-16,33,17,89,39,2.7778,NA,0
"8",2001-05-17,28,18,87,28,5.00004,NA,0
"9",2001-05-18,26,14,81,26,2.22224,NA,0
"10",2001-05-19,29,11,89,34,2.7778,NA,0
"11",2001-05-20,19,12,100,66,5.00004,NA,67.06
"12",2001-05-21,17,9,74,30,8.05562,NA,0
"13",2001-05-22,20,9,63,26,6.38894,NA,0
"14",2001-05-23,15,9,74,36,7.50006,NA,0
"15",2001-05-24,15,9,89,57,6.66672,NA,3.05
"16",2001-05-25,22,9,83,31,5.83338,NA,0
"210",2001-05-26,22.65,11.67,72.5,40,6.48458333333333,0.9243825,0
"310",2001-05-27,27.17,9.78,94.8,26.5,1.99958333333333,0.775703975,0
"410",2001-05-28,25.97,13.24,97.2,43.4,3.33458333333333,0.7285025,0
"510",2001-05-29,20.72,12.82,91.6,55.1,4.54833333333333,0.407395,0
"610",2001-05-30,16.83,11.05,100,88.9,6.57125,1.7497925,12.573
"710",2001-05-31,17.46,9.8,100,69.8,4.90208333333333,3.061805,0.254
"810",2001-06-01,26.66,9.71,100,38.9,6.25125,6.5456075,0.508
"910",2001-06-02,22.8,10.22,80,38.1,3.85916666666667,2.2188425,0
"1010",2001-06-03,18.61,12.71,96.5,58.5,5.41541666666667,4.0785225,4.064
"1110",2001-06-04,15.04,12.59,100,81.3,6.4675,1.37529,4.318
"1210",2001-06-05,20.01,13.55,100,76.8,2.84958333333333,2.0899275,5.08
"1310",2001-06-06,22.15,10.53,100,74.7,1.61041666666667,2.35115,0
"148",2001-06-07,26.55,15.1,100,35.1,3.5825,3.69281,0
"151",2001-06-08,27.69,13.88,93,34.9,1.67958333333333,2.178575,0
"161",2001-06-09,29.51,15.6,92.4,38.7,3.98125,2.3052775,0
"17",2001-06-10,33.23,19.49,96.5,45.3,3.95916666666667,3.5121225,2.794
"18",2001-06-11,36.21,21.87,89.9,36.1,5.57875,3.1734625,0
"19",2001-06-12,33.09,21.42,91.8,48,6.04,2.6858275,0
"20",2001-06-13,31.66,22.49,82.2,53.7,7.27458333333333,2.654115,0.762
"21",2001-06-14,24.31,16.42,97.3,50.2,3.40291666666667,4.263635,17.272
"22",2001-06-15,28.39,12.79,82,35.9,3.24458333333333,4.897,0
"23",2001-06-16,29.62,14.3,95.5,25,2.31125,3.3436775,0
"24",2001-06-17,31.02,17.85,92,27.1,4.6725,3.193228975,0.254
"25",2001-06-18,33.43,20.28,68.9,35,7.41375,5.4744625,5.334
"26",2001-06-19,19.06,12.7,96.4,66.9,3.26375,3.300755,4.318
"27",2001-06-20,21.91,14.76,99.1,60.2,1.83375,2.8640075,1.016
"28",2001-06-21,25.49,12.63,98.3,35.3,3.10125,3.79252,0
"29",2001-06-22,24.66,9.93,93.8,35.3,1.73416666666667,3.3188975,0
"30",2001-06-23,28.67,13.28,84.7,49.9,4.14208333333333,4.195785,0
"31",2001-06-24,33.53,18.54,95.4,37.4,4.045,5.2756325,0
"32",2001-06-25,32.28,21.56,74.9,34.4,5.70625,5.682143975,0
"33",2001-06-26,28.97,20.16,86,56.6,3.33458333333333,2.45499,0
"34",2001-06-27,30.29,17.59,96,52.3,2.98291666666667,6.64281,25.146
"35",2001-06-28,29.24,17.9,94.2,50,3.68458333333333,5.7060375,0
"36",2001-06-29,29.81,18.54,99.9,48.9,2.66083333333333,5.031815,0
"37",2001-06-30,32.021,20.53,96.4,51,1.72708333333333,5.5372975,21.082
"38",2001-07-01,23.27,14.75,97.2,67.3,3.92083333333333,3.5991475,0.508
"39",2001-07-02,31.37,13.91,88.6,51,3.81625,4.7912425,5.334
"40",2001-07-03,30.32,18.69,100,63.7,3.06083333333333,6.516845,16.51
"41",2001-07-04,30.91,19.27,100,51.5,2.06041666666667,6.533071475,0
"42",2001-07-05,28.91,19.51,90.7,53.7,2.7575,6.8506375,0
"43",2001-07-06,35.52,20.11,94,50.1,4.38666666666667,7.499195,30.48
"44",2001-07-07,34.61,23.74,91.3,51.9,2.92833333333333,5.1157425,0
"45",2001-07-08,30.32,22.52,98,67.4,1.87208333333333,3.26034,0
"46",2001-07-09,30.48,20.97,100,53.8,1.91,5.112645,0
"47",2001-07-10,29.76,18.63,100,62.9,2.2725,3.22022,30.734
"48",2001-07-11,25.82,19.3,100,71.2,2.06458333333333,3.04322,1.27
"49",2001-07-12,25.81,18.5,93.1,58.6,3.2475,5.6083925,0
"50",2001-07-13,26.76,15.02,100,54.6,1.34958333333333,5.9649,0
"51",2001-07-14,27.43,16.04,100,54.3,2.16041666666667,5.9137175,0
"52",2001-07-15,26.54,17.45,97,64.2,2.915,3.068885,31.242
"53",2001-07-16,31.23,20.03,92.4,62.8,3.70916666666667,5.62565,0
"54",2001-07-17,33.48,22.32,100,65.3,2.76833333333333,6.6544625,0
"55",2001-07-18,31.19,22.12,91.8,68,3.28083333333333,4.268356475,0
"56",2001-07-19,28.85,21.52,99.8,73,3.2375,5.1231175,0.508
"57",2001-07-20,32.72,22.72,99.8,67.7,2.41583333333333,4.22853,31.496
"58",2001-07-21,33.75,21.89,97.2,65.2,2.69875,7.2559675,0
