Eto	I
4.5	40
5	0
3.9	0
4.2	0
4.8	0
2.7	0
5.8	0
5.1	0
4.7	0
5.2	0
9.2	0
6.4	28
6.813636364	40
7.073426573	0
7.333216783	0
7.593006993	0
7.852797203	0
8.112587413	0
8.372377622	0
8.632167832	0
8.891958042	0
9.151748252	0
9.411538462	0
9.671328671	28
9.931118881	40
10.19090909	0
10.4506993	0
10.71048951	0
10.97027972	0
11.23006993	0
11.48986014	0
11.74965035	0
12.00944056	0
12.26923077	0
12.52902098	0
12.78881119	28
13.0486014	40
13.30839161	0
13.56818182	0
13.82797203	0
14.08776224	0
14.34755245	0
14.60734266	0
14.86713287	0
15.12692308	0
15.38671329	0
15.6465035	0
15.90629371	28
16.16608392	2.666666667
16.42587413	2.205128205
16.68566434	40
16.94545455	0
17.20524476	0
17.46503497	0
17.72482517	0
17.98461538	0
18.24440559	0
18.5041958	0
18.76398601	0
19.02377622	0
19.28356643	0
19.54335664	28
19.80314685	2.666666667
20.06293706	2.205128205
20.32272727	40
20.58251748	0
20.84230769	0
21.1020979	0
21.36188811	0
21.62167832	0
21.88146853	0
22.14125874	0
22.40104895	0
22.66083916	0
22.92062937	0
23.18041958	28
23.44020979	2.666666667
23.7	2.205128205
23.95979021	40
24.21958042	0
24.47937063	0
24.73916084	0
24.99895105	0
25.25874126	0
25.51853147	0
25.77832168	0
26.03811189	0
26.2979021	0
26.55769231	0
26.81748252	28
27.07727273	2.666666667
27.33706294	2.205128205
27.59685315	2.205128205
27.85664336	2.205128205
28.11643357	2.205128205
28.37622378	2.205128205
28.63601399	2.205128205
28.8958042	2.205128205
29.15559441	2.205128205
29.41538462	2.205128205
