longitude	latitude	Value	longitude	latitude	Value	longitude	latitude	Value	longitude	latitude	Value	longitude	latitude	Value	longitude	latitude	Value	longitude	latitude	Value	longitude	latitude	Value	longitude	latitude	Value	longitude	latitude	Value	longitude	latitude	Value	longitude	latitude	Value	longitude	latitude	Value	longitude	latitude	Value
699900	837270	0.6866769	699990	837510	0.34333845	699090	837120	0.171669225	699450	836100	0.085834613	698820	837390	0.042917306	697800	838140	0.021458653	699960	837000	0.010729327	699180	835290	0.005364663	698850	837420	0.002682332	699690	837090	0.001341166	699630	837510	0.000670583	699420	837930	0.000335291	698730	834960	0.000167646	697980	837960	8.38229E-05
699120	836010	1	697980	838200	0.5	697530	837000	0.25	698130	838710	0.125	698640	836070	0.0625	699240	834990	0.03125	699990	835680	0.015625	698250	837900	0.0078125	699120	835020	0.00390625	697740	836340	0.001953125	699330	835620	0.000976563	699900	839010	0.000488281	699990	837240	0.000244141	699090	835920	0.00012207
699420	838680	0.8555506	698730	834480	0.4277753	698490	834450	0.21388765	699270	834870	0.106943825	699570	837030	0.053471913	697650	835230	0.026735956	698700	835170	0.013367978	698370	835830	0.006683989	699000	837960	0.003341995	698280	837270	0.001670997	697860	837510	0.000835499	699120	837120	0.000417749	697980	836100	0.000208875	697530	837390	0.000104437
698820	834690	0.6326432	698340	839340	0.3163216	698130	834630	0.1581608	698190	834630	0.0790804	698550	834540	0.0395402	697770	836970	0.0197701	697980	838350	0.00988505	699210	836010	0.004942525	698340	836520	0.002471263	699000	836010	0.001235631	698730	838200	0.000617816	699420	837000	0.000308908	698730	838710	0.000154454	698490	836070	7.7227E-05
698130	836820	0.9138509	698280	835500	0.45692545	697800	837990	0.228462725	699330	834420	0.114231363	697770	835050	0.057115681	699000	836400	0.028557841	698700	834540	0.01427892	698520	837150	0.00713946	699690	838410	0.00356973	698190	838680	0.001784865	698670	834480	0.000892433	698820	834450	0.000446216	698340	834870	0.000223108	698130	837030	0.000111554
698640	836220	0.7999457	697530	838530	0.39997285	698280	836910	0.199986425	699930	834660	0.099993213	699540	839220	0.049996606	699630	835350	0.024998303	699330	838260	0.012499152	697860	837630	0.006249576	699450	838680	0.003124788	698220	834690	0.001562394	699750	839340	0.000781197	698130	834630	0.000390598	698280	834630	0.000195299	697800	834540	9.76496E-05
699150	839250	0.7993717	699120	834330	0.39968585	697470	837750	0.199842925	698400	837180	0.099921463	698100	838470	0.049960731	699750	838980	0.024980366	698010	838020	0.012490183	699480	835560	0.006245091	698610	838140	0.003122546	699270	836820	0.001561273	698460	835500	0.000780636	698640	837990	0.000390318	697530	834420	0.000195159	698280	835050	9.75796E-05
699540	837780	0.9141575	698280	834480	0.45707875	698250	836310	0.228539375	698070	837060	0.114269688	698400	837600	0.057134844	699480	835320	0.028567422	698400	836940	0.014283711	697620	838290	0.007141855	699600	836940	0.003570928	699570	836220	0.001785464	697500	838530	0.000892732	699150	836910	0.000446366	699120	834660	0.000223183	697470	839220	0.000111591
698730	835770	0.6299253	697980	837300	0.31496265	697500	836580	0.157481325	699420	838920	0.078740663	698790	835020	0.039370331	699810	834390	0.019685166	698400	834510	0.009842583	699270	835860	0.004921291	699900	838230	0.002460646	697590	839250	0.001230323	698040	834330	0.000615161	699540	837750	0.000307581	698280	837180	0.00015379	698250	838470	7.68952E-05
699990	835020	0.8571485	699090	835050	0.42857425	699450	836970	0.214287125	698820	836190	0.107143563	697800	834810	0.053571781	699960	834990	0.026785891	699180	837960	0.013392945	698850	834810	0.006696473	699690	836490	0.003348236	699630	837780	0.001674118	699420	834480	0.000837059	698730	836310	0.00041853	697980	837060	0.000209265	697500	837600	0.000104632
