id	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
0	413	424	429	426	417	410	413	422	429	427	418	410
0.1	412.63	423.77	428.93	426.11	417.23	410.3	413.27	422.17	429.02	426.84	417.67	409.6
0.2	412.26	423.54	428.86	426.22	417.46	410.6	413.54	422.34	429.04	426.68	417.34	409.2
0.3	411.89	423.31	428.79	426.33	417.69	410.9	413.81	422.51	429.06	426.52	417.01	408.8
0.4	411.52	423.08	428.72	426.44	417.92	411.2	414.08	422.68	429.08	426.36	416.68	408.4
0.5	411.15	422.85	428.65	426.55	418.15	411.5	414.35	422.85	429.1	426.2	416.35	408
0.6	410.78	422.62	428.58	426.66	418.38	411.8	414.62	423.02	429.12	426.04	416.02	407.6
0.7	410.41	422.39	428.51	426.77	418.61	412.1	414.89	423.19	429.14	425.88	415.69	407.2
0.8	410.04	422.16	428.44	426.88	418.84	412.4	415.16	423.36	429.16	425.72	415.36	406.8
0.9	409.67	421.93	428.37	426.99	419.07	412.7	415.43	423.53	429.18	425.56	415.03	406.4
1	409.3	421.7	428.3	427.1	419.3	413	415.7	423.7	429.2	425.4	414.7	406
1.1	408.93	421.47	428.23	427.21	419.53	413.3	415.97	423.87	429.22	425.24	414.37	405.6
1.2	408.56	421.24	428.16	427.32	419.76	413.6	416.24	424.04	429.24	425.08	414.04	405.2
1.3	408.19	421.01	428.09	427.43	419.99	413.9	416.51	424.21	429.26	424.92	413.71	404.8
1.4	407.82	420.78	428.02	427.54	420.22	414.2	416.78	424.38	429.28	424.76	413.38	404.4
1.5	407.45	420.55	427.95	427.65	420.45	414.5	417.05	424.55	429.3	424.6	413.05	404
1.6	407.08	420.32	427.88	427.76	420.68	414.8	417.32	424.72	429.32	424.44	412.72	403.6
1.7	406.71	420.09	427.81	427.87	420.91	415.1	417.59	424.89	429.34	424.28	412.39	403.2
1.8	406.34	419.86	427.74	427.98	421.14	415.4	417.86	425.06	429.36	424.12	412.06	402.8
