id	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
0	218	225	230	228	222	216	219	226	230	228	221	216
0.1	218.18	225.1	230	227.9	221.81	215.77	218.78	225.86	229.95	228.06	221.15	216.19
0.2	218.36	225.2	230	227.8	221.62	215.54	218.56	225.72	229.9	228.12	221.3	216.38
0.3	218.54	225.3	230	227.7	221.43	215.31	218.34	225.58	229.85	228.18	221.45	216.57
0.4	218.72	225.4	230	227.6	221.24	215.08	218.12	225.44	229.8	228.24	221.6	216.76
0.5	218.9	225.5	230	227.5	221.05	214.85	217.9	225.3	229.75	228.3	221.75	216.95
0.6	219.08	225.6	230	227.4	220.86	214.62	217.68	225.16	229.7	228.36	221.9	217.14
0.7	219.26	225.7	230	227.3	220.67	214.39	217.46	225.02	229.65	228.42	222.05	217.33
0.8	219.44	225.8	230	227.2	220.48	214.16	217.24	224.88	229.6	228.48	222.2	217.52
0.9	219.62	225.9	230	227.1	220.29	213.93	217.02	224.74	229.55	228.54	222.35	217.71
1	219.8	226	230	227	220.1	213.7	216.8	224.6	229.5	228.6	222.5	217.9
1.1	219.98	226.1	230	226.9	219.91	213.47	216.58	224.46	229.45	228.66	222.65	218.09
1.2	220.16	226.2	230	226.8	219.72	213.24	216.36	224.32	229.4	228.72	222.8	218.28
1.3	220.34	226.3	230	226.7	219.53	213.01	216.14	224.18	229.35	228.78	222.95	218.47
1.4	220.52	226.4	230	226.6	219.34	212.78	215.92	224.04	229.3	228.84	223.1	218.66
1.5	220.7	226.5	230	226.5	219.15	212.55	215.7	223.9	229.25	228.9	223.25	218.85
1.6	220.88	226.6	230	226.4	218.96	212.32	215.48	223.76	229.2	228.96	223.4	219.04
1.7	221.06	226.7	230	226.3	218.77	212.09	215.26	223.62	229.15	229.02	223.55	219.23
1.8	221.24	226.8	230	226.2	218.58	211.86	215.04	223.48	229.1	229.08	223.7	219.42
1.9	221.42	226.9	230	226.1	218.39	211.63	214.82	223.34	229.05	229.14	223.85	219.61
2	221.6	227	230	226	218.2	211.4	214.6	223.2	229	229.2	224	219.8
2.1	221.78	227.1	230	225.9	218.01	211.17	214.38	223.06	228.95	229.26	224.15	219.99
2.2	221.96	227.2	230	225.8	217.82	210.94	214.16	222.92	228.9	229.32	224.3	220.18
2.3	222.14	227.3	230	225.7	217.63	210.71	213.94	222.78	228.85	229.38	224.45	220.37
2.4	222.32	227.4	230	225.6	217.44	210.48	213.72	222.64	228.8	229.44	224.6	220.56
2.5	222.5	227.5	230	225.5	217.25	210.25	213.5	222.5	228.75	229.5	224.75	220.75
2.6	222.68	227.6	230	225.4	217.06	210.02	213.28	222.36	228.7	229.56	224.9	220.94
2.7	222.86	227.7	230	225.3	216.87	209.79	213.06	222.22	228.65	229.62	225.05	221.13
2.8	223.04	227.8	230	225.2	216.68	209.56	212.84	222.08	228.6	229.68	225.2	221.32
2.9	223.22	227.9	230	225.1	216.49	209.33	212.62	221.94	228.55	229.74	225.35	221.51
3	223.4	228	230	225	216.3	209.1	212.4	221.8	228.5	229.8	225.5	221.7
3.1	223.58	228.1	230	224.9	216.11	208.87	212.18	221.66	228.45	229.86	225.65	221.89
3.2	223.76	228.2	230	224.8	215.92	208.64	211.96	221.52	228.4	229.92	225.8	222.08
3.3	223.94	228.3	230	224.7	215.73	208.41	211.74	221.38	228.35	229.98	225.95	222.27
3.4	224.12	228.4	230	224.6	215.54	208.18	211.52	221.24	228.3	230.04	226.1	222.46
3.5	224.3	228.5	230	224.5	215.35	207.95	211.3	221.1	228.25	230.1	226.25	222.65
3.6	224.48	228.6	230	224.4	215.16	207.72	211.08	220.96	228.2	230.16	226.4	222.84
3.7	224.66	228.7	230	224.3	214.97	207.49	210.86	220.82	228.15	230.22	226.55	223.03
3.8	224.84	228.8	230	224.2	214.78	207.26	210.64	220.68	228.1	230.28	226.7	223.22
3.9	225.02	228.9	230	224.1	214.59	207.03	210.42	220.54	228.05	230.34	226.85	223.41
4	225.2	229	230	224	214.4	206.8	210.2	220.4	228	230.4	227	223.6
4.1	225.38	229.1	230	223.9	214.21	206.57	209.98	220.26	227.95	230.46	227.15	223.79
4.2	225.56	229.2	230	223.8	214.02	206.34	209.76	220.12	227.9	230.52	227.3	223.98
4.3	225.74	229.3	230	223.7	213.83	206.11	209.54	219.98	227.85	230.58	227.45	224.17
4.4	225.92	229.4	230	223.6	213.64	205.88	209.32	219.84	227.8	230.64	227.6	224.36
4.5	226.1	229.5	230	223.5	213.45	205.65	209.1	219.7	227.75	230.7	227.75	224.55
4.6	226.28	229.6	230	223.4	213.26	205.42	208.88	219.56	227.7	230.76	227.9	224.74
4.7	226.46	229.7	230	223.3	213.07	205.19	208.66	219.42	227.65	230.82	228.05	224.93
4.8	226.64	229.8	230	223.2	212.88	204.96	208.44	219.28	227.6	230.88	228.2	225.12
4.9	226.82	229.9	230	223.1	212.69	204.73	208.22	219.14	227.55	230.94	228.35	225.31
5	227	230	230	223	212.5	204.5	208	219	227.5	231	228.5	225.5
5.1	227.18	230.1	230	222.9	212.31	204.27	207.78	218.86	227.45	231.06	228.65	225.69
5.2	227.36	230.2	230	222.8	212.12	204.04	207.56	218.72	227.4	231.12	228.8	225.88
5.3	227.54	230.3	230	222.7	211.93	203.81	207.34	218.58	227.35	231.18	228.95	226.07
5.4	227.72	230.4	230	222.6	211.74	203.58	207.12	218.44	227.3	231.24	229.1	226.26
5.5	227.9	230.5	230	222.5	211.55	203.35	206.9	218.3	227.25	231.3	229.25	226.45
5.6	228.08	230.6	230	222.4	211.36	203.12	206.68	218.16	227.2	231.36	229.4	226.64
5.7	228.26	230.7	230	222.3	211.17	202.89	206.46	218.02	227.15	231.42	229.55	226.83
5.8	228.44	230.8	230	222.2	210.98	202.66	206.24	217.88	227.1	231.48	229.7	227.02
5.9	228.62	230.9	230	222.1	210.79	202.43	206.02	217.74	227.05	231.54	229.85	227.21
6	228.8	231	230	222	210.6	202.2	205.8	217.6	227	231.6	230	227.4
6.1	228.98	231.1	230	221.9	210.41	201.97	205.58	217.46	226.95	231.66	230.15	227.59
6.2	229.16	231.2	230	221.8	210.22	201.74	205.36	217.32	226.9	231.72	230.3	227.78
6.3	229.34	231.3	230	221.7	210.03	201.51	205.14	217.18	226.85	231.78	230.45	227.97
6.4	229.52	231.4	230	221.6	209.84	201.28	204.92	217.04	226.8	231.84	230.6	228.16
6.5	229.7	231.5	230	221.5	209.65	201.05	204.7	216.9	226.75	231.9	230.75	228.35
6.6	229.88	231.6	230	221.4	209.46	200.82	204.48	216.76	226.7	231.96	230.9	228.54
6.7	230.06	231.7	230	221.3	209.27	200.59	204.26	216.62	226.65	232.02	231.05	228.73
6.8	230.24	231.8	230	221.2	209.08	200.36	204.04	216.48	226.6	232.08	231.2	228.92
6.9	230.42	231.9	230	221.1	208.89	200.13	203.82	216.34	226.55	232.14	231.35	229.11
7	230.6	232	230	221	208.7	199.9	203.6	216.2	226.5	232.2	231.5	229.3
7.1	230.78	232.1	230	220.9	208.51	199.67	203.38	216.06	226.45	232.26	231.65	229.49
7.2	230.96	232.2	230	220.8	208.32	199.44	203.16	215.92	226.4	232.32	231.8	229.68
7.3	231.14	232.3	230	220.7	208.13	199.21	202.94	215.78	226.35	232.38	231.95	229.87
7.4	231.32	232.4	230	220.6	207.94	198.98	202.72	215.64	226.3	232.44	232.1	230.06
7.5	231.5	232.5	230	220.5	207.75	198.75	202.5	215.5	226.25	232.5	232.25	230.25
7.6	231.68	232.6	230	220.4	207.56	198.52	202.28	215.36	226.2	232.56	232.4	230.44
7.7	231.86	232.7	230	220.3	207.37	198.29	202.06	215.22	226.15	232.62	232.55	230.63
7.8	232.04	232.8	230	220.2	207.18	198.06	201.84	215.08	226.1	232.68	232.7	230.82
7.9	232.22	232.9	230	220.1	206.99	197.83	201.62	214.94	226.05	232.74	232.85	231.01
8	232.4	233	230	220	206.8	197.6	201.4	214.8	226	232.8	233	231.2
8.1	232.58	233.1	230	219.9	206.61	197.37	201.18	214.66	225.95	232.86	233.15	231.39
8.2	232.76	233.2	230	219.8	206.42	197.14	200.96	214.52	225.9	232.92	233.3	231.58
8.3	232.94	233.3	230	219.7	206.23	196.91	200.74	214.38	225.85	232.98	233.45	231.77
8.4	233.12	233.4	230	219.6	206.04	196.68	200.52	214.24	225.8	233.04	233.6	231.96
8.5	233.3	233.5	230	219.5	205.85	196.45	200.3	214.1	225.75	233.1	233.75	232.15
8.6	233.48	233.6	230	219.4	205.66	196.22	200.08	213.96	225.7	233.16	233.9	232.34
8.7	233.66	233.7	230	219.3	205.47	195.99	199.86	213.82	225.65	233.22	234.05	232.53
8.8	233.84	233.8	230	219.2	205.28	195.76	199.64	213.68	225.6	233.28	234.2	232.72
8.9	234.02	233.9	230	219.1	205.09	195.53	199.42	213.54	225.55	233.34	234.35	232.91
9	234.2	234	230	219	204.9	195.3	199.2	213.4	225.5	233.4	234.5	233.1
9.1	234.38	234.1	230	218.9	204.71	195.07	198.98	213.26	225.45	233.46	234.65	233.29
9.2	234.56	234.2	230	218.8	204.52	194.84	198.76	213.12	225.4	233.52	234.8	233.48
9.3	234.74	234.3	230	218.7	204.33	194.61	198.54	212.98	225.35	233.58	234.95	233.67
9.4	234.92	234.4	230	218.6	204.14	194.38	198.32	212.84	225.3	233.64	235.1	233.86
9.5	235.1	234.5	230	218.5	203.95	194.15	198.1	212.7	225.25	233.7	235.25	234.05
9.6	235.28	234.6	230	218.4	203.76	193.92	197.88	212.56	225.2	233.76	235.4	234.24
9.7	235.46	234.7	230	218.3	203.57	193.69	197.66	212.42	225.15	233.82	235.55	234.43
9.8	235.64	234.8	230	218.2	203.38	193.46	197.44	212.28	225.1	233.88	235.7	234.62
9.9	235.82	234.9	230	218.1	203.19	193.23	197.22	212.14	225.05	233.94	235.85	234.81
10	236	235	230	218	203	193	197	212	225	234	236	235
10.1	236.13	235.07	229.96	217.85	202.75	192.71	196.73	211.81	224.9	234.01	236.1	235.15
10.2	236.26	235.14	229.92	217.7	202.5	192.42	196.46	211.62	224.8	234.02	236.2	235.3
10.3	236.39	235.21	229.88	217.55	202.25	192.13	196.19	211.43	224.7	234.03	236.3	235.45
10.4	236.52	235.28	229.84	217.4	202	191.84	195.92	211.24	224.6	234.04	236.4	235.6
10.5	236.65	235.35	229.8	217.25	201.75	191.55	195.65	211.05	224.5	234.05	236.5	235.75
10.6	236.78	235.42	229.76	217.1	201.5	191.26	195.38	210.86	224.4	234.06	236.6	235.9
10.7	236.91	235.49	229.72	216.95	201.25	190.97	195.11	210.67	224.3	234.07	236.7	236.05
10.8	237.04	235.56	229.68	216.8	201	190.68	194.84	210.48	224.2	234.08	236.8	236.2
10.9	237.17	235.63	229.64	216.65	200.75	190.39	194.57	210.29	224.1	234.09	236.9	236.35
11	237.3	235.7	229.6	216.5	200.5	190.1	194.3	210.1	224	234.1	237	236.5
11.1	237.43	235.77	229.56	216.35	200.25	189.81	194.03	209.91	223.9	234.11	237.1	236.65
11.2	237.56	235.84	229.52	216.2	200	189.52	193.76	209.72	223.8	234.12	237.2	236.8
11.3	237.69	235.91	229.48	216.05	199.75	189.23	193.49	209.53	223.7	234.13	237.3	236.95
11.4	237.82	235.98	229.44	215.9	199.5	188.94	193.22	209.34	223.6	234.14	237.4	237.1
11.5	237.95	236.05	229.4	215.75	199.25	188.65	192.95	209.15	223.5	234.15	237.5	237.25
11.6	238.08	236.12	229.36	215.6	199	188.36	192.68	208.96	223.4	234.16	237.6	237.4
11.7	238.21	236.19	229.32	215.45	198.75	188.07	192.41	208.77	223.3	234.17	237.7	237.55
11.8	238.34	236.26	229.28	215.3	198.5	187.78	192.14	208.58	223.2	234.18	237.8	237.7
11.9	238.47	236.33	229.24	215.15	198.25	187.49	191.87	208.39	223.1	234.19	237.9	237.85
12	238.6	236.4	229.2	215	198	187.2	191.6	208.2	223	234.2	238	238
12.1	238.73	236.47	229.16	214.85	197.75	186.91	191.33	208.01	222.9	234.21	238.1	238.15
12.2	238.86	236.54	229.12	214.7	197.5	186.62	191.06	207.82	222.8	234.22	238.2	238.3
12.3	238.99	236.61	229.08	214.55	197.25	186.33	190.79	207.63	222.7	234.23	238.3	238.45
12.4	239.12	236.68	229.04	214.4	197	186.04	190.52	207.44	222.6	234.24	238.4	238.6
12.5	239.25	236.75	229	214.25	196.75	185.75	190.25	207.25	222.5	234.25	238.5	238.75
12.6	239.38	236.82	228.96	214.1	196.5	185.46	189.98	207.06	222.4	234.26	238.6	238.9
12.7	239.51	236.89	228.92	213.95	196.25	185.17	189.71	206.87	222.3	234.27	238.7	239.05
12.8	239.64	236.96	228.88	213.8	196	184.88	189.44	206.68	222.2	234.28	238.8	239.2
12.9	239.77	237.03	228.84	213.65	195.75	184.59	189.17	206.49	222.1	234.29	238.9	239.35
13	239.9	237.1	228.8	213.5	195.5	184.3	188.9	206.3	222	234.3	239	239.5
13.1	240.03	237.17	228.76	213.35	195.25	184.01	188.63	206.11	221.9	234.31	239.1	239.65
13.2	240.16	237.24	228.72	213.2	195	183.72	188.36	205.92	221.8	234.32	239.2	239.8
13.3	240.29	237.31	228.68	213.05	194.75	183.43	188.09	205.73	221.7	234.33	239.3	239.95
13.4	240.42	237.38	228.64	212.9	194.5	183.14	187.82	205.54	221.6	234.34	239.4	240.1
13.5	240.55	237.45	228.6	212.75	194.25	182.85	187.55	205.35	221.5	234.35	239.5	240.25
13.6	240.68	237.52	228.56	212.6	194	182.56	187.28	205.16	221.4	234.36	239.6	240.4
13.7	240.81	237.59	228.52	212.45	193.75	182.27	187.01	204.97	221.3	234.37	239.7	240.55
13.8	240.94	237.66	228.48	212.3	193.5	181.98	186.74	204.78	221.2	234.38	239.8	240.7
13.9	241.07	237.73	228.44	212.15	193.25	181.69	186.47	204.59	221.1	234.39	239.9	240.85
14	241.2	237.8	228.4	212	193	181.4	186.2	204.4	221	234.4	240	241
14.1	241.33	237.87	228.36	211.85	192.75	181.11	185.93	204.21	220.9	234.41	240.1	241.15
14.2	241.46	237.94	228.32	211.7	192.5	180.82	185.66	204.02	220.8	234.42	240.2	241.3
14.3	241.59	238.01	228.28	211.55	192.25	180.53	185.39	203.83	220.7	234.43	240.3	241.45
14.4	241.72	238.08	228.24	211.4	192	180.24	185.12	203.64	220.6	234.44	240.4	241.6
14.5	241.85	238.15	228.2	211.25	191.75	179.95	184.85	203.45	220.5	234.45	240.5	241.75
14.6	241.98	238.22	228.16	211.1	191.5	179.66	184.58	203.26	220.4	234.46	240.6	241.9
14.7	242.11	238.29	228.12	210.95	191.25	179.37	184.31	203.07	220.3	234.47	240.7	242.05
14.8	242.24	238.36	228.08	210.8	191	179.08	184.04	202.88	220.2	234.48	240.8	242.2
14.9	242.37	238.43	228.04	210.65	190.75	178.79	183.77	202.69	220.1	234.49	240.9	242.35
15	242.5	238.5	228	210.5	190.5	178.5	183.5	202.5	220	234.5	241	242.5
15.1	242.63	238.57	227.96	210.35	190.25	178.21	183.23	202.31	219.9	234.51	241.1	242.65
15.2	242.76	238.64	227.92	210.2	190	177.92	182.96	202.12	219.8	234.52	241.2	242.8
15.3	242.89	238.71	227.88	210.05	189.75	177.63	182.69	201.93	219.7	234.53	241.3	242.95
15.4	243.02	238.78	227.84	209.9	189.5	177.34	182.42	201.74	219.6	234.54	241.4	243.1
15.5	243.15	238.85	227.8	209.75	189.25	177.05	182.15	201.55	219.5	234.55	241.5	243.25
15.6	243.28	238.92	227.76	209.6	189	176.76	181.88	201.36	219.4	234.56	241.6	243.4
15.7	243.41	238.99	227.72	209.45	188.75	176.47	181.61	201.17	219.3	234.57	241.7	243.55
15.8	243.54	239.06	227.68	209.3	188.5	176.18	181.34	200.98	219.2	234.58	241.8	243.7
15.9	243.67	239.13	227.64	209.15	188.25	175.89	181.07	200.79	219.1	234.59	241.9	243.85
16	243.8	239.2	227.6	209	188	175.6	180.8	200.6	219	234.6	242	244
16.1	243.93	239.27	227.56	208.85	187.75	175.31	180.53	200.41	218.9	234.61	242.1	244.15
16.2	244.06	239.34	227.52	208.7	187.5	175.02	180.26	200.22	218.8	234.62	242.2	244.3
16.3	244.19	239.41	227.48	208.55	187.25	174.73	179.99	200.03	218.7	234.63	242.3	244.45
16.4	244.32	239.48	227.44	208.4	187	174.44	179.72	199.84	218.6	234.64	242.4	244.6
16.5	244.45	239.55	227.4	208.25	186.75	174.15	179.45	199.65	218.5	234.65	242.5	244.75
16.6	244.58	239.62	227.36	208.1	186.5	173.86	179.18	199.46	218.4	234.66	242.6	244.9
16.7	244.71	239.69	227.32	207.95	186.25	173.57	178.91	199.27	218.3	234.67	242.7	245.05
16.8	244.84	239.76	227.28	207.8	186	173.28	178.64	199.08	218.2	234.68	242.8	245.2
16.9	244.97	239.83	227.24	207.65	185.75	172.99	178.37	198.89	218.1	234.69	242.9	245.35
17	245.1	239.9	227.2	207.5	185.5	172.7	178.1	198.7	218	234.7	243	245.5
17.1	245.23	239.97	227.16	207.35	185.25	172.41	177.83	198.51	217.9	234.71	243.1	245.65
17.2	245.36	240.04	227.12	207.2	185	172.12	177.56	198.32	217.8	234.72	243.2	245.8
17.3	245.49	240.11	227.08	207.05	184.75	171.83	177.29	198.13	217.7	234.73	243.3	245.95
17.4	245.62	240.18	227.04	206.9	184.5	171.54	177.02	197.94	217.6	234.74	243.4	246.1
17.5	245.75	240.25	227	206.75	184.25	171.25	176.75	197.75	217.5	234.75	243.5	246.25
17.6	245.88	240.32	226.96	206.6	184	170.96	176.48	197.56	217.4	234.76	243.6	246.4
17.7	246.01	240.39	226.92	206.45	183.75	170.67	176.21	197.37	217.3	234.77	243.7	246.55
17.8	246.14	240.46	226.88	206.3	183.5	170.38	175.94	197.18	217.2	234.78	243.8	246.7
