Day	ETo	Zr	RAW	"Dr, i start"	P-RO	I	Ks	Kcb	Ke	Kc	ETc	DP	"Dr, i end"	Dstart	Dei	E	fw	fc	few	longitude	latitude
1	4.5	0.3	23	0	0	40	1	0.3	0.91	1.21	5.5	32	5	0	5	4.1	0.92	0.08	0.8	699900	837270
2	5	0.31	24	0	0	0	1	0.31	0.9	1.21	6.1	0	12	5	11	4.5	0.91	0.09	0.8	699120	836010
3	3.9	0.31	24	6	0	0	1	0.32	0.64	0.97	3.8	0	16	11	14	2.5	0.91	0.09	0.8	699420	838680
4	4.2	0.32	25	10	0	0	1	0.33	0.36	0.69	2.9	0	18	14	16	1.5	0.9	0.1	0.8	698820	834690
5	4.8	0.32	25	13	0	0	1	0.34	0.19	0.54	2.6	0	21	16	17	0.9	0.89	0.11	0.8	698130	836820
6	2.7	0.33	26	9	6	0	1	0.36	0.6	0.96	2.6	0	18	11	13	1.6	0.89	0.11	0.89	698640	836220
7	5.8	0.33	26	12	0	0	1	0.37	0.44	0.81	4.7	0	22	13	16	2.6	0.88	0.12	0.88	699150	839250
8	5.1	0.34	26	17	0	0	1	0.38	0.19	0.57	2.9	0	25	16	17	1	0.87	0.13	0.87	699540	837780
9	4.7	0.34	27	20	0	0	1	0.39	0.1	0.49	2.3	0	27	17	17	0.5	0.87	0.13	0.87	698730	835770
10	5.2	0.35	27	22	0	0	1	0.4	0.05	0.45	2.4	0	6	17	18	0.3	0.86	0.14	0.86	699990	835020
11	9.2	0.35	27	24	0	0	1	0.41	0.03	0.44	4	0	28	17	18	1	0.87	0.14	0.87	697980	838140
12	6.4	0.36	28	0	0	28	1	0.42	0.79	1.21	7.8	0	8	17	18	2	0.86	0.14	0.86	698730	834990
