id	Jan	Feb	Mar	April	May	June	Jul	Aug	Sept	Oct	Nov	Dec
0	342.9	360.1	369	363.93	349	337	343	357	368	365.05	349.1	337.05
0.1	342.49865	359.8655	368.9594	364.100488	349.33445	337.42445	343.3596	357.25445	368.07435	364.904925	348.7556	336.620175
0.2	342.0966	359.63	368.9176	364.269812	349.6678	337.8478	343.7184	357.5078	368.1474	364.7587	348.4104	336.1897
0.3	341.69385	359.3935	368.8746	364.437972	350.00005	338.27005	344.0764	357.76005	368.21915	364.611325	348.0644	335.758575
0.4	341.2904	359.156	368.8304	364.604968	350.3312	338.6912	344.4336	358.0112	368.2896	364.4628	347.7176	335.3268
0.5	340.88625	358.9175	368.785	364.7708	350.66125	339.11125	344.79	358.26125	368.35875	364.313125	347.37	334.894375
0.6	340.4814	358.678	368.7384	364.935468	350.9902	339.5302	345.1456	358.5102	368.4266	364.1623	347.0216	334.4613
0.7	340.07585	358.4375	368.6906	365.098972	351.31805	339.94805	345.5004	358.75805	368.49315	364.010325	346.6724	334.027575
0.8	339.6696	358.196	368.6416	365.261312	351.6448	340.3648	345.8544	359.0048	368.5584	363.8572	346.3224	333.5932
0.9	339.26265	357.9535	368.5914	365.422488	351.97045	340.78045	346.2076	359.25045	368.62235	363.702925	345.9716	333.158175
1	338.855	357.71	368.54	365.5825	352.295	341.195	346.56	359.495	368.685	363.5475	345.62	332.7225
1.1	338.44665	357.4655	368.4874	365.741348	352.61845	341.60845	346.9116	359.73845	368.74635	363.390925	345.2676	332.286175
1.2	338.0376	357.22	368.4336	365.899032	352.9408	342.0208	347.2624	359.9808	368.8064	363.2332	344.9144	331.8492
1.3	337.62785	356.9735	368.3786	366.055552	353.26205	342.43205	347.6124	360.22205	368.86515	363.074325	344.5604	331.411575
1.4	337.2174	356.726	368.3224	366.210908	353.5822	342.8422	347.9616	360.4622	368.9226	362.9143	344.2056	330.9733
1.5	336.80625	356.4775	368.265	366.3651	353.90125	343.25125	348.31	360.70125	368.97875	362.753125	343.85	330.534375
1.6	336.3944	356.228	368.2064	366.518128	354.2192	343.6592	348.6576	360.9392	369.0336	362.5908	343.4936	330.0948
1.7	335.98185	355.9775	368.1466	366.669992	354.53605	344.06605	349.0044	361.17605	369.08715	362.427325	343.1364	329.654575
1.8	335.5686	355.726	368.0856	366.820692	354.8518	344.4718	349.3504	361.4118	369.1394	362.2627	342.7784	329.2137
1.9	335.15465	355.4735	368.0234	366.970228	355.16645	344.87645	349.6956	361.64645	369.19035	362.096925	342.4196	328.772175
2	334.74	355.22	367.96	367.1186	355.48	345.28	350.04	361.88	369.24	361.93	342.06	328.33
2.1	334.32465	354.9655	367.8954	367.265808	355.79245	345.68245	350.3836	362.11245	369.28835	361.761925	341.6996	327.887175
2.2	333.9086	354.71	367.8296	367.411852	356.1038	346.0838	350.7264	362.3438	369.3354	361.5927	341.3384	327.4437
2.3	333.49185	354.4535	367.7626	367.556732	356.41405	346.48405	351.0684	362.57405	369.38115	361.422325	340.9764	326.999575
2.4	333.0744	354.196	367.6944	367.700448	356.7232	346.8832	351.4096	362.8032	369.4256	361.2508	340.6136	326.5548
2.5	332.65625	353.9375	367.625	367.843	357.03125	347.28125	351.75	363.03125	369.46875	361.078125	340.25	326.109375
2.6	332.2374	353.678	367.5544	367.984388	357.3382	347.6782	352.0896	363.2582	369.5106	360.9043	339.8856	325.6633
2.7	331.81785	353.4175	367.4826	368.124612	357.64405	348.07405	352.4284	363.48405	369.55115	360.729325	339.5204	325.216575
2.8	331.3976	353.156	367.4096	368.263672	357.9488	348.4688	352.7664	363.7088	369.5904	360.5532	339.1544	324.7692
2.9	330.97665	352.8935	367.3354	368.401568	358.25245	348.86245	353.1036	363.93245	369.62835	360.375925	338.7876	324.321175
3	330.555	352.63	367.26	368.5383	358.555	349.255	353.44	364.155	369.665	360.1975	338.42	323.8725
3.1	330.13265	352.3655	367.1834	368.673868	358.85645	349.64645	353.7756	364.37645	369.70035	360.017925	338.0516	323.423175
3.2	329.7096	352.1	367.1056	368.808272	359.1568	350.0368	354.1104	364.5968	369.7344	359.8372	337.6824	322.9732
3.3	329.28585	351.8335	367.0266	368.941512	359.45605	350.42605	354.4444	364.81605	369.76715	359.655325	337.3124	322.522575
3.4	328.8614	351.566	366.9464	369.073588	359.7542	350.8142	354.7776	365.0342	369.7986	359.4723	336.9416	322.0713
3.5	328.43625	351.2975	366.865	369.2045	360.05125	351.20125	355.11	365.25125	369.82875	359.288125	336.57	321.619375
3.6	328.0104	351.028	366.7824	369.334248	360.3472	351.5872	355.4416	365.4672	369.8576	359.1028	336.1976	321.1668
3.7	327.58385	350.7575	366.6986	369.462832	360.64205	351.97205	355.7724	365.68205	369.88515	358.916325	335.8244	320.713575
3.8	327.1566	350.486	366.6136	369.590252	360.9358	352.3558	356.1024	365.8958	369.9114	358.7287	335.4504	320.2597
3.9	326.72865	350.2135	366.5274	369.716508	361.22845	352.73845	356.4316	366.10845	369.93635	358.539925	335.0756	319.805175
4	326.3	349.94	366.44	369.8416	361.52	353.12	356.76	366.32	369.96	358.35	334.7	319.35
4.1	325.87065	349.6655	366.3514	369.965528	361.81045	353.50045	357.0876	366.53045	369.98235	358.158925	334.3236	318.894175
4.2	325.4406	349.39	366.2616	370.088292	362.0998	353.8798	357.4144	366.7398	370.0034	357.9667	333.9464	318.4377
4.3	325.00985	349.1135	366.1706	370.209892	362.38805	354.25805	357.7404	366.94805	370.02315	357.773325	333.5684	317.980575
4.4	324.5784	348.836	366.0784	370.330328	362.6752	354.6352	358.0656	367.1552	370.0416	357.5788	333.1896	317.5228
4.5	324.14625	348.5575	365.985	370.4496	362.96125	355.01125	358.39	367.36125	370.05875	357.383125	332.81	317.064375
4.6	323.7134	348.278	365.8904	370.567708	363.2462	355.3862	358.7136	367.5662	370.0746	357.1863	332.4296	316.6053
4.7	323.27985	347.9975	365.7946	370.684652	363.53005	355.76005	359.0364	367.77005	370.08915	356.988325	332.0484	316.145575
4.8	322.8456	347.716	365.6976	370.800432	363.8128	356.1328	359.3584	367.9728	370.1024	356.7892	331.6664	315.6852
4.9	322.41065	347.4335	365.5994	370.915048	364.09445	356.50445	359.6796	368.17445	370.11435	356.588925	331.2836	315.224175
5	321.975	347.15	365.5	371.0285	364.375	356.875	360	368.375	370.125	356.3875	330.9	314.7625
5.1	321.53865	346.8655	365.3994	371.140788	364.65445	357.24445	360.3196	368.57445	370.13435	356.184925	330.5156	314.300175
5.2	321.1016	346.58	365.2976	371.251912	364.9328	357.6128	360.6384	368.7728	370.1424	355.9812	330.1304	313.8372
5.3	320.66385	346.2935	365.1946	371.361872	365.21005	357.98005	360.9564	368.97005	370.14915	355.776325	329.7444	313.373575
5.4	320.2254	346.006	365.0904	371.470668	365.4862	358.3462	361.2736	369.1662	370.1546	355.5703	329.3576	312.9093
5.5	319.78625	345.7175	364.985	371.5783	365.76125	358.71125	361.59	369.36125	370.15875	355.363125	328.97	312.444375
5.6	319.3464	345.428	364.8784	371.684768	366.0352	359.0752	361.9056	369.5552	370.1616	355.1548	328.5816	311.9788
5.7	318.90585	345.1375	364.7706	371.790072	366.30805	359.43805	362.2204	369.74805	370.16315	354.945325	328.1924	311.512575
5.8	318.4646	344.846	364.6616	371.894212	366.5798	359.7998	362.5344	369.9398	370.1634	354.7347	327.8024	311.0457
