longitude	latitude 	value	longitude2	latitude2 	value2	longitude2	latitude2 	value2	longitude2	latitude2 	value2	longitude2	latitude2 	value2	longitude2	latitude2 	value2	longitude2	latitude2 	value2	longitude2	latitude2 	value2	longitude2	latitude2 	value2	longitude2	latitude2 	value2	longitude2	latitude2 	value2	longitude2	latitude2 	value2	longitude2	latitude2 	value2	longitude2	latitude2 	value2	longitude2	latitude2 	value2	longitude2	latitude2 	value2	longitude2	latitude2 	value2	longitude2	latitude2 	value2	longitude2	latitude2 	value2
-1.21	7.545	304.2455172	-1.207	7.548	354.2455172	-1.204	7.551	404.2455172	-1.201	7.554	454.2455172	-1.198	7.557	504.2455172	-1.195	7.56	554.2455172	-1.192	7.563	604.2455172	-1.189	7.566	654.2455172	-1.209	7.56	704.2455172	-1.206	7.563	754.2455172	-1.203	7.566	804.2455172	-1.2	7.56	854.2455172	-1.197	7.563	904.2455172	-1.194	7.566	954.2455172	-1.191	7.56	1004.245517	-1.188	7.563	1054.245517	-1.208	7.566	1104.245517	-1.205	7.56	1154.245517	-1.202	7.563	1204.245517
-1.209	7.546	306.4626894	-1.206	7.549	356.4626894	-1.203	7.552	406.4626894	-1.2	7.555	456.4626894	-1.197	7.558	506.4626894	-1.194	7.561	556.4626894	-1.191	7.564	606.4626894	-1.188	7.567	656.4626894	-1.208	7.561	706.4626894	-1.205	7.564	756.4626894	-1.202	7.567	806.4626894	-1.199	7.561	856.4626894	-1.196	7.564	906.4626894	-1.193	7.567	956.4626894	-1.19	7.561	1006.462689	-1.21	7.564	1056.462689	-1.207	7.567	1106.462689	-1.204	7.561	1156.462689	-1.201	7.564	1206.462689
-1.208	7.547	305.9137862	-1.205	7.55	355.9137862	-1.202	7.553	405.9137862	-1.199	7.556	455.9137862	-1.196	7.559	505.9137862	-1.193	7.562	555.9137862	-1.19	7.565	605.9137862	-1.21	7.559	655.9137862	-1.207	7.562	705.9137862	-1.204	7.565	755.9137862	-1.201	7.559	805.9137862	-1.198	7.562	855.9137862	-1.195	7.565	905.9137862	-1.192	7.559	955.9137862	-1.189	7.562	1005.913786	-1.209	7.565	1055.913786	-1.206	7.559	1105.913786	-1.203	7.562	1155.913786	-1.2	7.565	1205.913786
-1.207	7.548	302.552961	-1.204	7.551	352.552961	-1.201	7.554	402.552961	-1.198	7.557	452.552961	-1.195	7.56	502.552961	-1.192	7.563	552.552961	-1.189	7.566	602.552961	-1.209	7.56	652.552961	-1.206	7.563	702.552961	-1.203	7.566	752.552961	-1.2	7.56	802.552961	-1.197	7.563	852.552961	-1.194	7.566	902.552961	-1.191	7.56	952.552961	-1.188	7.563	1002.552961	-1.208	7.566	1052.552961	-1.205	7.56	1102.552961	-1.202	7.563	1152.552961	-1.199	7.566	1202.552961
-1.206	7.549	307.517866	-1.203	7.552	357.517866	-1.2	7.555	407.517866	-1.197	7.558	457.517866	-1.194	7.561	507.517866	-1.191	7.564	557.517866	-1.188	7.567	607.517866	-1.208	7.561	657.517866	-1.205	7.564	707.517866	-1.202	7.567	757.517866	-1.199	7.561	807.517866	-1.196	7.564	857.517866	-1.193	7.567	907.517866	-1.19	7.561	957.517866	-1.21	7.564	1007.517866	-1.207	7.567	1057.517866	-1.204	7.561	1107.517866	-1.201	7.564	1157.517866	-1.198	7.567	1207.517866
-1.205	7.55	306.4288302	-1.202	7.553	356.4288302	-1.199	7.556	406.4288302	-1.196	7.559	456.4288302	-1.193	7.562	506.4288302	-1.19	7.565	556.4288302	-1.21	7.559	606.4288302	-1.207	7.562	656.4288302	-1.204	7.565	706.4288302	-1.201	7.559	756.4288302	-1.198	7.562	806.4288302	-1.195	7.565	856.4288302	-1.192	7.559	906.4288302	-1.189	7.562	956.4288302	-1.209	7.565	1006.42883	-1.206	7.559	1056.42883	-1.203	7.562	1106.42883	-1.2	7.565	1156.42883	-1.197	7.559	1206.42883
-1.204	7.551	303.0988644	-1.201	7.554	353.0988644	-1.198	7.557	403.0988644	-1.195	7.56	453.0988644	-1.192	7.563	503.0988644	-1.189	7.566	553.0988644	-1.209	7.56	603.0988644	-1.206	7.563	653.0988644	-1.203	7.566	703.0988644	-1.2	7.56	753.0988644	-1.197	7.563	803.0988644	-1.194	7.566	853.0988644	-1.191	7.56	903.0988644	-1.188	7.563	953.0988644	-1.208	7.566	1003.098864	-1.205	7.56	1053.098864	-1.202	7.563	1103.098864	-1.199	7.566	1153.098864	-1.196	7.56	1203.098864
-1.203	7.552	308.1087572	-1.2	7.555	358.1087572	-1.197	7.558	408.1087572	-1.194	7.561	458.1087572	-1.191	7.564	508.1087572	-1.188	7.567	558.1087572	-1.208	7.561	608.1087572	-1.205	7.564	658.1087572	-1.202	7.567	708.1087572	-1.199	7.561	758.1087572	-1.196	7.564	808.1087572	-1.193	7.567	858.1087572	-1.19	7.561	908.1087572	-1.21	7.564	958.1087572	-1.207	7.567	1008.108757	-1.204	7.561	1058.108757	-1.201	7.564	1108.108757	-1.198	7.567	1158.108757	-1.195	7.561	1208.108757
-1.202	7.553	305.3452801	-1.199	7.556	355.3452801	-1.196	7.559	405.3452801	-1.193	7.562	455.3452801	-1.19	7.565	505.3452801	-1.21	7.559	555.3452801	-1.207	7.562	605.3452801	-1.204	7.565	655.3452801	-1.201	7.559	705.3452801	-1.198	7.562	755.3452801	-1.195	7.565	805.3452801	-1.192	7.559	855.3452801	-1.189	7.562	905.3452801	-1.209	7.565	955.3452801	-1.206	7.559	1005.34528	-1.203	7.562	1055.34528	-1.2	7.565	1105.34528	-1.197	7.559	1155.34528	-1.194	7.562	1205.34528
-1.201	7.554	305.3644385	-1.198	7.557	355.3644385	-1.195	7.56	405.3644385	-1.192	7.563	455.3644385	-1.189	7.566	505.3644385	-1.209	7.56	555.3644385	-1.206	7.563	605.3644385	-1.203	7.566	655.3644385	-1.2	7.56	705.3644385	-1.197	7.563	755.3644385	-1.194	7.566	805.3644385	-1.191	7.56	855.3644385	-1.188	7.563	905.3644385	-1.208	7.566	955.3644385	-1.205	7.56	1005.364439	-1.202	7.563	1055.364439	-1.199	7.566	1105.364439	-1.196	7.56	1155.364439	-1.193	7.563	1205.364439
-1.2	7.555	304.8112486	-1.197	7.558	354.8112486	-1.194	7.561	404.8112486	-1.191	7.564	454.8112486	-1.188	7.567	504.8112486	-1.208	7.561	554.8112486	-1.205	7.564	604.8112486	-1.202	7.567	654.8112486	-1.199	7.561	704.8112486	-1.196	7.564	754.8112486	-1.193	7.567	804.8112486	-1.19	7.561	854.8112486	-1.21	7.564	904.8112486	-1.207	7.567	954.8112486	-1.204	7.561	1004.811249	-1.201	7.564	1054.811249	-1.198	7.567	1104.811249	-1.195	7.561	1154.811249	-1.192	7.564	1204.811249
-1.199	7.556	305.8694958	-1.196	7.559	355.8694958	-1.193	7.562	405.8694958	-1.19	7.565	455.8694958	-1.21	7.559	505.8694958	-1.207	7.562	555.8694958	-1.204	7.565	605.8694958	-1.201	7.559	655.8694958	-1.198	7.562	705.8694958	-1.195	7.565	755.8694958	-1.192	7.559	805.8694958	-1.189	7.562	855.8694958	-1.209	7.565	905.8694958	-1.206	7.559	955.8694958	-1.203	7.562	1005.869496	-1.2	7.565	1055.869496	-1.197	7.559	1105.869496	-1.194	7.562	1155.869496	-1.191	7.565	1205.869496
-1.198	7.557	304.2135406	-1.195	7.56	354.2135406	-1.192	7.563	404.2135406	-1.189	7.566	454.2135406	-1.209	7.56	504.2135406	-1.206	7.563	554.2135406	-1.203	7.566	604.2135406	-1.2	7.56	654.2135406	-1.197	7.563	704.2135406	-1.194	7.566	754.2135406	-1.191	7.56	804.2135406	-1.188	7.563	854.2135406	-1.208	7.566	904.2135406	-1.205	7.56	954.2135406	-1.202	7.563	1004.213541	-1.199	7.566	1054.213541	-1.196	7.56	1104.213541	-1.193	7.563	1154.213541	-1.19	7.566	1204.213541
-1.197	7.558	302.5678557	-1.194	7.561	352.5678557	-1.191	7.564	402.5678557	-1.188	7.567	452.5678557	-1.208	7.561	502.5678557	-1.205	7.564	552.5678557	-1.202	7.567	602.5678557	-1.199	7.561	652.5678557	-1.196	7.564	702.5678557	-1.193	7.567	752.5678557	-1.19	7.561	802.5678557	-1.21	7.564	852.5678557	-1.207	7.567	902.5678557	-1.204	7.561	952.5678557	-1.201	7.564	1002.567856	-1.198	7.567	1052.567856	-1.195	7.561	1102.567856	-1.192	7.564	1152.567856	-1.189	7.567	1202.567856
-1.196	7.559	301.3931823	-1.193	7.562	351.3931823	-1.19	7.565	401.3931823	-1.21	7.559	451.3931823	-1.207	7.562	501.3931823	-1.204	7.565	551.3931823	-1.201	7.559	601.3931823	-1.198	7.562	651.3931823	-1.195	7.565	701.3931823	-1.192	7.559	751.3931823	-1.189	7.562	801.3931823	-1.209	7.565	851.3931823	-1.206	7.559	901.3931823	-1.203	7.562	951.3931823	-1.2	7.565	1001.393182	-1.197	7.559	1051.393182	-1.194	7.562	1101.393182	-1.191	7.565	1151.393182	-1.188	7.559	1201.393182
-1.195	7.56	301.4183491	-1.192	7.563	351.4183491	-1.189	7.566	401.4183491	-1.209	7.56	451.4183491	-1.206	7.563	501.4183491	-1.203	7.566	551.4183491	-1.2	7.56	601.4183491	-1.197	7.563	651.4183491	-1.194	7.566	701.4183491	-1.191	7.56	751.4183491	-1.188	7.563	801.4183491	-1.208	7.566	851.4183491	-1.205	7.56	901.4183491	-1.202	7.563	951.4183491	-1.199	7.566	1001.418349	-1.196	7.56	1051.418349	-1.193	7.563	1101.418349	-1.19	7.566	1151.418349	-1.21	7.56	1201.418349
-1.194	7.561	304.2247162	-1.191	7.564	354.2247162	-1.188	7.567	404.2247162	-1.208	7.561	454.2247162	-1.205	7.564	504.2247162	-1.202	7.567	554.2247162	-1.199	7.561	604.2247162	-1.196	7.564	654.2247162	-1.193	7.567	704.2247162	-1.19	7.561	754.2247162	-1.21	7.564	804.2247162	-1.207	7.567	854.2247162	-1.204	7.561	904.2247162	-1.201	7.564	954.2247162	-1.198	7.567	1004.224716	-1.195	7.561	1054.224716	-1.192	7.564	1104.224716	-1.189	7.567	1154.224716	-1.209	7.561	1204.224716
-1.193	7.562	305.3385819	-1.19	7.565	355.3385819	-1.21	7.559	405.3385819	-1.207	7.562	455.3385819	-1.204	7.565	505.3385819	-1.201	7.559	555.3385819	-1.198	7.562	605.3385819	-1.195	7.565	655.3385819	-1.192	7.559	705.3385819	-1.189	7.562	755.3385819	-1.209	7.565	805.3385819	-1.206	7.559	855.3385819	-1.203	7.562	905.3385819	-1.2	7.565	955.3385819	-1.197	7.559	1005.338582	-1.194	7.562	1055.338582	-1.191	7.565	1105.338582	-1.188	7.559	1155.338582	-1.208	7.562	1205.338582
-1.192	7.563	304.7822105	-1.189	7.566	354.7822105	-1.209	7.56	404.7822105	-1.206	7.563	454.7822105	-1.203	7.566	504.7822105	-1.2	7.56	554.7822105	-1.197	7.563	604.7822105	-1.194	7.566	654.7822105	-1.191	7.56	704.7822105	-1.188	7.563	754.7822105	-1.208	7.566	804.7822105	-1.205	7.56	854.7822105	-1.202	7.563	904.7822105	-1.199	7.566	954.7822105	-1.196	7.56	1004.78221	-1.193	7.563	1054.78221	-1.19	7.566	1104.78221	-1.21	7.56	1154.78221	-1.207	7.563	1204.78221
-1.191	7.564	305.8737746	-1.188	7.567	355.8737746	-1.208	7.561	405.8737746	-1.205	7.564	455.8737746	-1.202	7.567	505.8737746	-1.199	7.561	555.8737746	-1.196	7.564	605.8737746	-1.193	7.567	655.8737746	-1.19	7.561	705.8737746	-1.21	7.564	755.8737746	-1.207	7.567	805.8737746	-1.204	7.561	855.8737746	-1.201	7.564	905.8737746	-1.198	7.567	955.8737746	-1.195	7.561	1005.873775	-1.192	7.564	1055.873775	-1.189	7.567	1105.873775	-1.209	7.561	1155.873775	-1.206	7.564	1205.873775
-1.19	7.565	303.1177768	-1.21	7.559	353.1177768	-1.207	7.562	403.1177768	-1.204	7.565	453.1177768	-1.201	7.559	503.1177768	-1.198	7.562	553.1177768	-1.195	7.565	603.1177768	-1.192	7.559	653.1177768	-1.189	7.562	703.1177768	-1.209	7.565	753.1177768	-1.206	7.559	803.1177768	-1.203	7.562	853.1177768	-1.2	7.565	903.1177768	-1.197	7.559	953.1177768	-1.194	7.562	1003.117777	-1.191	7.565	1053.117777	-1.188	7.559	1103.117777	-1.208	7.562	1153.117777	-1.205	7.565	1203.117777
-1.189	7.566	305.3240165	-1.209	7.56	355.3240165	-1.206	7.563	405.3240165	-1.203	7.566	455.3240165	-1.2	7.56	505.3240165	-1.197	7.563	555.3240165	-1.194	7.566	605.3240165	-1.191	7.56	655.3240165	-1.188	7.563	705.3240165	-1.208	7.566	755.3240165	-1.205	7.56	805.3240165	-1.202	7.563	855.3240165	-1.199	7.566	905.3240165	-1.196	7.56	955.3240165	-1.193	7.563	1005.324017	-1.19	7.566	1055.324017	-1.21	7.56	1105.324017	-1.207	7.563	1155.324017	-1.204	7.566	1205.324017
-1.188	7.567	304.8152818	-1.208	7.561	354.8152818	-1.205	7.564	404.8152818	-1.202	7.567	454.8152818	-1.199	7.561	504.8152818	-1.196	7.564	554.8152818	-1.193	7.567	604.8152818	-1.19	7.561	654.8152818	-1.21	7.564	704.8152818	-1.207	7.567	754.8152818	-1.204	7.561	804.8152818	-1.201	7.564	854.8152818	-1.198	7.567	904.8152818	-1.195	7.561	954.8152818	-1.192	7.564	1004.815282	-1.189	7.567	1054.815282	-1.209	7.561	1104.815282	-1.206	7.564	1154.815282	-1.203	7.567	1204.815282
